제목,등록일,연도,출처,최신판,판수,URL,URL2,계열키
2025년 제1급감염병(중동호흡기증후군(MERS)·중동급성호흡기증후군(SARS)) 대응지침,2025.01.02,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228264/artclView.do,,제1급감염병중동급성호흡기증후군)대응지침
2025년 제1급감염병(두창·페스트·탄저·보툴리눔독소증·야토병) 대응지침,2025.01.02,2025,KDCA게시판,,4,https://www.kdca.go.kr/bbs/kdca/55/228263/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/228262/artclView.do,제1급감염병대응지침
2025년도 의료관련감염병 관리치침,2025.01.02,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228260/artclView.do,,의료관련감염병관리치침
원인불명 질병 집단감염 대응지침(제3판),2025.01.02,2025,감염병포털,Y,4,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250102164359901&q_clsfNo=-1,,원인불명질병집단감염대응지침
2025년 제1급감염병 대응지침 4종 개정본,2025.01.02,2025,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250102163041973&q_clsfNo=-1,,제1급감염병대응지침4종본
2025 국가결핵관리지침(시스템 이용 설명서 2종),2024.12.31,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228259/artclView.do,,2025국가결핵관리지침
2025년 고혈압·당뇨병 등록관리사업 표준실무지침,2024.12.31,2025,KDCA게시판,,12,https://www.kdca.go.kr/bbs/kdca/55/228257/artclView.do,,고혈압당뇨병등록관리사업표준실무지침
2025년 시도 심뇌혈관질환 예방관리사업 안내,2024.12.31,2025,KDCA게시판,,11,https://www.kdca.go.kr/bbs/kdca/55/228256/artclView.do,,시도심뇌혈관질환예방관리사업
"(9.18. 수정) 2025년 국가예방접종사업 관리지침(보건소용, 의료기관용) 개정 안내",2024.12.31,2025,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/228255/artclView.do,,국가예방접종사업관리지침
2025 실험실 생물안전지침 개정 안내,2024.12.27,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228254/artclView.do,,2025실험실생물안전지침
2024년도 감염병 역학조사 연보,2025.09.24,2024,KDCA게시판,,7,https://www.kdca.go.kr/bbs/kdca/55/228307/artclView.do,,감염병역학조사연보
소아 마크로라이드 불응성 마이코플라스마 폐렴 항생제 치료 지침(2024),2025.02.06,2024,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228271/artclView.do,,소아마크로라이드불응성마이코플라스마폐렴항생제치료지침
「2024 군중모임행사 감염병 대비·대응 표준운영절차(SOP)」,2025.01.21,2024,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228267/artclView.do,,2024군중모임행사감염병대비대응표준운영절차
원인불명 질병 집단감염 대응지침(제3판),2024.12.23,2024,KDCA게시판,,4,https://www.kdca.go.kr/bbs/kdca/55/228253/artclView.do,,원인불명질병집단감염대응지침
엠폭스(Mpox) 치료지침 제3판,2024.12.04,2024,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/228252/artclView.do,,엠폭스치료지침
2024-2025절기 인플루엔자 관리 지침,2024.12.03,2024,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228251/artclView.do,,20242025절기인플루엔자관리지침
