연도,주차,기준일,급,감염병,금주신고수,연누계,5년주별평균,예년대비배수,열부분추출,출처호
2024,22,2024-06-01,3,비브리오패혈증,0,3,0.0,,,17-22
2024,22,2024-06-01,3,발진열,0,4,0.0,,,17-22
2024,22,2024-06-01,3,쯔쯔가무시증,19,498,24.0,0.79,,17-22
2024,22,2024-06-01,3,렙토스피라증,0,6,2.0,0.0,,17-22
2024,22,2024-06-01,3,브루셀라증,0,4,0.0,,,17-22
2024,22,2024-06-01,3,신증후군출혈열,5,94,5.0,1.0,,17-22
2024,22,2024-06-01,3,후천성면역결핍증(AIDS),23,282,17.0,1.35,,17-22
2024,22,2024-06-01,3,크로이츠펠트-야콥병(CJD),0,19,1.0,0.0,,17-22
2024,22,2024-06-01,3,뎅기열,1,72,1.0,1.0,,17-22
2024,22,2024-06-01,3,큐열,3,22,2.0,1.5,,17-22
2024,22,2024-06-01,3,라임병,0,5,0.0,,,17-22
2024,22,2024-06-01,3,유비저,0,1,0.0,,,17-22
2024,22,2024-06-01,3,치쿤구니야열,0,0,0.0,,,17-22
2024,22,2024-06-01,3,중증열성혈소판감소 증후군(SFTS),1,15,4.0,0.25,,17-22
2024,22,2024-06-01,3,지카바이러스감염증,0,0,0.0,,,17-22
2024,22,2024-06-01,3,엠폭스(원숭이두창),1,2,,,,17-22
2024,22,2024-06-01,3,매독(1기),21,401,,,,17-22
2024,22,2024-06-01,3,매독(2기),13,196,,,,17-22
2024,22,2024-06-01,3,매독(3기),2,32,,,,17-22
2024,22,2024-06-01,3,매독(선천성),1,5,,,,17-22
2024,22,2024-06-01,3,매독(잠복),18,530,,,,17-22
2024,26,2024-06-29,2,결핵,404,7752,387.0,1.04,,17-26
2024,26,2024-06-29,2,수두,356,16151,772.0,0.46,,17-26
2024,26,2024-06-29,2,홍역,0,47,0.0,,,17-26
2024,26,2024-06-29,2,콜레라,0,0,0.0,,,17-26
2024,26,2024-06-29,2,장티푸스,2,21,1.0,2.0,,17-26
2024,26,2024-06-29,2,파라티푸스,0,11,1.0,0.0,,17-26
2024,26,2024-06-29,2,세균성이질,0,18,2.0,0.0,,17-26
2024,26,2024-06-29,2,장출혈성대장균감염증,6,86,13.0,0.46,,17-26
2024,26,2024-06-29,2,A형간염,13,670,169.0,0.08,,17-26
2024,26,2024-06-29,2,백일해,952,4776,2.0,476.0,,17-26
2024,26,2024-06-29,2,유행성이하선염,110,3576,239.0,0.46,,17-26
2024,26,2024-06-29,2,풍진,0,0,0.0,,,17-26
2024,26,2024-06-29,2,수막구균 감염증,0,7,0.0,,,17-26
2024,26,2024-06-29,2,폐렴구균 감염증,3,179,6.0,0.5,,17-26
2024,26,2024-06-29,2,한센병,0,1,0.0,,,17-26
2024,26,2024-06-29,2,성홍열,182,2557,48.0,3.79,,17-26
2024,26,2024-06-29,2,반코마이신내성황색 포도알균(VRSA) 감염증,0,0,0.0,,,17-26
2024,26,2024-06-29,2,카바페넴내성장내세균목(CRE) 감염증,1003,25314,521.0,1.93,,17-26
2024,26,2024-06-29,2,E형간염,6,316,,,,17-26
2024,26,2024-06-29,3,파상풍,1,5,1.0,1.0,,17-26
2024,26,2024-06-29,3,B형간염,2,124,7.0,0.29,,17-26
2024,26,2024-06-29,3,일본뇌염,0,0,0.0,,,17-26
2024,26,2024-06-29,3,C형간염,76,3298,197.0,0.39,,17-26
2024,26,2024-06-29,3,말라리아,17,211,25.0,0.68,,17-26
2024,26,2024-06-29,3,레지오넬라증,4,164,8.0,0.5,,17-26
2024,26,2024-06-29,3,비브리오패혈증,2,6,0.0,,,17-26
2024,26,2024-06-29,3,발진열,1,12,0.0,,,17-26
2024,26,2024-06-29,3,쯔쯔가무시증,23,649,26.0,0.88,,17-26
2024,26,2024-06-29,3,렙토스피라증,0,7,2.0,0.0,,17-26
2024,26,2024-06-29,3,브루셀라증,0,4,0.0,,,17-26
2024,26,2024-06-29,3,신증후군출혈열,8,126,6.0,1.33,,17-26
2024,26,2024-06-29,3,후천성면역결핍증(AIDS),10,323,18.0,0.56,,17-26
2024,26,2024-06-29,3,크로이츠펠트-야콥병(CJD),0,15,2.0,0.0,,17-26
2024,26,2024-06-29,3,뎅기열,1,85,3.0,0.33,,17-26
2024,26,2024-06-29,3,큐열,2,24,2.0,1.0,,17-26
2024,26,2024-06-29,3,라임병,0,7,1.0,0.0,,17-26
2024,26,2024-06-29,3,유비저,0,1,0.0,,,17-26
2024,26,2024-06-29,3,치쿤구니야열,0,0,0.0,,,17-26
2024,26,2024-06-29,3,중증열성혈소판감소 증후군(SFTS),1,29,8.0,0.12,,17-26
2024,26,2024-06-29,3,지카바이러스감염증,0,0,0.0,,,17-26
2024,26,2024-06-29,3,엠폭스(원숭이두창),0,4,,,,17-26
2024,26,2024-06-29,3,매독(1기),16,495,,,,17-26
2024,26,2024-06-29,3,필리핀(1) 매독(2기),7,230,,,,17-26
2024,26,2024-06-29,3,매독(3기),0,36,,,,17-26
2024,26,2024-06-29,3,매독(선천성),0,7,,,,17-26
2024,26,2024-06-29,3,매독(잠복),22,628,,,,17-26
2024,30,2024-07-27,2,결핵,310,8886,374.0,0.83,,17-30
2024,30,2024-07-27,2,수두,413,18730,684.0,0.6,,17-30
2024,30,2024-07-27,2,홍역,0,47,0.0,,,17-30
2024,30,2024-07-27,2,콜레라,0,0,0.0,,,17-30
